Research Area	Focus area	Score on focus area	Type of Literature	Score from type	Title	Year	Keywords of note	Keywords	Keywords score (0 or 3)	Geographic area	Region Score	Score total Calculation	Percentage	Quality Score Colour	Included	Excluded
Policy and Governance Analysis	Specific to plastic/POPs in adjacent ecosystems	5	Intergovernmental sources (Ramsar, BRS)	4	22 factsheets: POPs under the Stockholm Convention	2011	Aldrin, Contaminants, chemicals governance	Yes	3	Global	3	15	71			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	A review on microplastic pollution in the mangrove wetlands	2022	land-based plastic leakage, mangrove debris accumulation, biodiversity	Yes	3	Asia / Middle East	3	21	100			
Ecosystem Services and Linkages	Specific to mangroves	5	Grey Literature	4	Analysing the vulnerability of mangrove forest	2025	mangrove, vegetation health	Yes	3	Asia / Middle East	3	15	71			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Anthropogenic marine debris accumulation in mangroves	2023	mangrove litter surveys, microplastics, macroplastics	Yes	3	Asia / Middle East	3	21	100			
Mitigation and Clean-up Practices	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Assessment and management of mangrove forest clean-up operations	2024	mangrove restoration, clean-up, debris removal	Yes	3	Asia / Middle East	3	21	100			
Policy and Governance Analysis	Specific to plastic/POPs in adjacent ecosystems	5	Intergovernmental sources (Ramsar, BRS)	4	Basel Convention plastic waste amendments	2019	plastic waste trade, transboundary movement	Yes	3	Global	3	15	71			
Microplastics, Chemical Additives & POPs in ecosystems	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Bioaccumulation of microplastics in mangrove ecosystems	2023	microplastic uptake, bioaccumulation, food web	Yes	3	Asia / Middle East	3	21	100			
Impact Assessment	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Biological impacts of plastic pollution on mangrove fauna	2024	fauna, crabs, molluscs, plastic ingestion	Yes	3	Asia / Middle East	3	21	100			
Transboundary Riverine Plastic & Chemical Pollution	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Bridge over troubled waters: riverine transport of plastics to the sea	2023	riverine transport, land-to-sea, plastic flux	Yes	3	Global	3	16	76			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Characterisation of plastic debris in mangrove sediments	2022	sediment analysis, plastic characterisation, particle size	Yes	3	Asia / Middle East	3	21	100			
Microplastics, Chemical Additives & POPs in ecosystems	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Chemical additives in mangrove microplastics	2024	additives, phthalates, bisphenol A, leaching	Yes	3	Asia / Middle East	3	21	100			
Ecosystem Services and Linkages	Specific to mangroves	5	Peer Reviewed Academic	5	Climate change and mangrove ecosystem services	2023	carbon sequestration, coastal protection, climate	Yes	3	Global	3	16	76			
Policy and Governance Analysis	Specific to plastic/POPs in adjacent ecosystems	5	Grey Literature	4	Combating marine plastic litter and microplastics (UNEA)	2017	UNEA resolution, marine litter, governance	Yes	3	Global	3	15	71			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Composition of plastic debris in mangroves of the Gulf	2023	Gulf, plastic composition, polymer types	Yes	3	Asia / Middle East	3	21	100			
Transboundary Riverine Plastic & Chemical Pollution	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Continental-scale riverine plastics flux	2024	river systems, modelling, plastic flux estimates	Yes	3	Global	3	16	76			
Impact Assessment	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Contamination of mangrove soils by persistent organic pollutants	2022	POPs, soil contamination, mangrove health	Yes	3	Americas	3	21	100			
Microplastics, Chemical Additives & POPs in ecosystems	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Contamination patterns of microplastics in mangrove sediments	2023	contamination patterns, spatial distribution, sediment	Yes	3	Africa	3	21	100			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Debris accumulation in a tropical mangrove forest	2021	debris accumulation, tropical, long-term monitoring	Yes	3	Americas	3	21	100			
Mitigation and Clean-up Practices	Specific to POPs/plastics in mangroves	10	Grey Literature	4	Design guidelines for mangrove restoration with debris management	2025	restoration design, debris management, guidelines	Yes	3	Asia / Middle East	3	20	95			
Ecosystem Services and Linkages	Specific to mangroves	5	Peer Reviewed Academic	5	Ecosystem service valuation of mangrove forests: a systematic review	2024	valuation, ecosystem services, systematic review	Yes	3	Global	3	16	76			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Distribution of microplastics in mangrove sediments of the Persian Gulf	2023	Persian Gulf, spatial distribution, microplastics	Yes	3	Asia / Middle East	3	21	100			
Transboundary Riverine Plastic & Chemical Pollution	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Downstream transport of plastic debris in major river systems	2023	downstream, major rivers, transport mechanisms	Yes	3	Global	3	16	76			
Policy and Governance Analysis	Specific to plastic/POPs in adjacent ecosystems	5	Intergovernmental sources (Ramsar, BRS)	4	Draft text of the international plastics treaty (INC-5)	2024	INC-5, plastics treaty, negotiation draft	Yes	3	Global	3	15	71			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Effects of urbanisation on plastic pollution in mangroves	2024	urbanisation, land use, plastic pollution gradients	Yes	3	Asia / Middle East	3	21	100			
Microplastics, Chemical Additives & POPs in ecosystems	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Emerging contaminants in coastal wetlands	2023	emerging contaminants, wetlands, PFAS	Yes	3	Europe	3	16	76			
Impact Assessment	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Entanglement and ingestion of marine debris by mangrove fauna	2023	entanglement, ingestion, wildlife impacts	Yes	3	Asia / Middle East	3	21	100			
Ecosystem Services and Linkages	Specific to mangroves	5	Grey Literature	4	Establishing a mangrove monitoring framework	2024	monitoring, indicators, framework	Yes	3	Africa	3	15	71			
State of Plastic Pollution in Mangroves	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Evaluation of macro-debris in mangrove forests of West Africa	2024	West Africa, macro-debris, baseline assessment	Yes	3	Africa	3	21	100			
Transboundary Riverine Plastic & Chemical Pollution	Specific to plastic/POPs in adjacent ecosystems	5	Peer Reviewed Academic	5	Export of plastics from coastal river basins	2024	export, coastal rivers, plastic loads	Yes	3	Global	3	16	76			
Mitigation and Clean-up Practices	Specific to POPs/plastics in mangroves	10	Peer Reviewed Academic	5	Feasibility of community-led mangrove clean-up programmes	2023	community-led, clean-up, feasibility	Yes	3	Asia / Middle East	3	21	100			
